CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO
63,"""REGIONAL QUINDIO""",9120,"""CENTRO AGROINDUSTRIAL""",12926452,"""26/02/2024""","""22/03/2024""","""41310002""",1,"""INDUCCION A PROCESOS PEDAGOGICOS""","""CURSO ESPECIAL""","""VIRTUAL""",80,0,202402
19,"""REGIONAL CAUCA""",9113,"""CENTRO AGROPECUARIO""",12929842,"""15/02/2024""","""31/07/2024""","""73340239""",3,"""PRODUCCION AGROPECUARIA ECOLOGICA PARA LA SOBERANIA ALIMENTARIA""","""CURSO ESPECIAL""","""PRESENCIAL""",26,0,202402
76,"""REGIONAL VALLE""",9126,"""CENTRO NAUTICO PESQUERO DE BUENAVENTURA""",12722300,"""07/03/2023""","""16/12/2024""","""832202""",2,"""INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES""","""TECNICO""","""PRESENCIAL""",21,0,202402
41,"""REGIONAL HUILA""",9526,"""CENTRO DE DESARROLLO AGROEMPRESARIAL Y TURISTICO DEL HUILA""",12919738,"""23/02/2024""","""03/05/2024""","""52450457""",1,"""PATRONAJE Y CONFECCION DE FALDA .""","""CURSO ESPECIAL""","""PRESENCIAL""",22,0,202402
76,"""REGIONAL VALLE""",9227,"""CENTRO DE ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL - CEAI""",12835995,"""15/09/2023""","""16/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",38,1,202402
76,"""REGIONAL VALLE""",9227,"""CENTRO DE ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL - CEAI""",12619981,"""06/10/2022""","""16/01/2024""","""233104""",1,"""PROGRAMACION DE SOFTWARE .""","""TECNICO""","""PRESENCIAL""",23,0,202402
25,"""REGIONAL CUNDINAMARCA""",9232,"""CENTRO INDUSTRIAL Y DE DESARROLLO EMPRESARIAL DE SOACHA""",12728283,"""17/03/2023""","""13/12/2024""","""524704""",1,"""INTEGRACION DE CONTENIDOS DIGITALES.""","""TECNICO""","""PRESENCIAL""",35,0,202402
5,"""REGIONAL ANTIOQUIA""",9203,"""CENTRO PARA EL DESARROLLO DEL HABITAT Y LA CONSTRUCCION""",12896730,"""28/11/2023""","""27/02/2025""","""836600""",1,"""PINTURA ARQUITECTONICA Y ACABADOS ESPECIALES""","""TECNICO""","""PRESENCIAL""",21,0,202402
15,"""REGIONAL BOYACA""",9110,"""CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL""",12874667,"""22/01/2024""","""21/04/2026""","""222319""",1,"""PREVENCION Y CONTROL AMBIENTAL""","""TECNOLOGO""","""A DISTANCIA""",10,0,202402
15,"""REGIONAL BOYACA""",9305,"""CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL""",12693737,"""01/03/2023""","""13/12/2024""","""524704""",1,"""INTEGRACION DE CONTENIDOS DIGITALES.""","""TECNICO""","""PRESENCIAL""",27,0,202402
8,"""REGIONAL ATLANTICO""",9207,"""CENTRO NACIONAL COLOMBO ALEMAN""",12920786,"""14/02/2024""","""19/03/2024""","""96151461""",2,"""HIGIENE Y MANIPULACION DE ALIMENTOS.""","""CURSO ESPECIAL""","""PRESENCIAL""",26,0,202402
8,"""REGIONAL ATLANTICO""",9302,"""CENTRO DE COMERCIO Y SERVICIOS""",12902196,"""22/01/2024""","""18/12/2025""","""112005""",101,"""GESTION DEL TALENTO HUMANO""","""TECNOLOGO""","""PRESENCIAL""",32,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9406,"""CENTRO NACIONAL DE HOTELERIA, TURISMO Y ALIMENTOS""",12722401,"""13/03/2023""","""13/12/2024""","""936113""",1,"""ELABORACION DE PRODUCTOS ALIMENTICIOS.""","""TECNICO""","""PRESENCIAL""",24,0,202402
19,"""REGIONAL CAUCA""",9221,"""CENTRO DE TELEINFORMATICA Y PRODUCCION INDUSTRIAL""",12770186,"""10/07/2023""","""09/04/2024""","""935105""",1,"""MANEJO DE MAQUINARIA DE CONFECCION INDUSTRIAL PARA ROPA EXTERIOR""","""OPERARIO""","""PRESENCIAL""",12,0,202402
17,"""REGIONAL CALDAS""",9306,"""CENTRO DE COMERCIO Y SERVICIOS""",12915441,"""01/02/2024""","""12/12/2025""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",40,0,202402
88,"""REGIONAL SAN ANDRES""",9539,"""CENTRO DE FORMACION TURISTICA GENTE DE MAR Y DE SERVICIOS""",12907845,"""23/02/2024""","""07/03/2024""","""52630007""",1,"""DECORACION DE OBJETOS ARTESALES EN MADERA""","""CURSO ESPECIAL""","""PRESENCIAL""",14,0,202402
5,"""REGIONAL ANTIOQUIA""",9402,"""CENTRO DE SERVICIOS Y GESTION EMPRESARIAL""",12693239,"""20/12/2022""","""20/12/2024""","""228101""",102,"""PRODUCCION DE MULTIMEDIA""","""TECNOLOGO""","""PRESENCIAL""",12,1,202402
73,"""REGIONAL TOLIMA""",9123,"""CENTRO AGROPECUARIO LA GRANJA""",12910129,"""09/02/2024""","""07/03/2024""","""84720117""",1,"""COMPETENCIAS CIUDADANAS EN LA SEGURIDAD VIAL""","""CURSO ESPECIAL""","""VIRTUAL""",80,2,202402
95,"""REGIONAL GUAVIARE""",9533,"""CENTRO DE DESARROLLO AGROINDUSTRIAL, TURISTICO Y TECNOLOGICO DEL GUAVIARE""",2301007,"""30/01/2024""","""30/01/2024""","""1413104202""",1,"""REINDUCCION - INMERSION A LA FORMACION PROFESIONAL INTEGRAL""","""EVENTO""","""PRESENCIAL""",109,0,202402
25,"""REGIONAL CUNDINAMARCA""",9511,"""CENTRO DE LA TECNOLOGIA DEL DISEÑO Y LA PRODUCTIVIDAD EMPRESARIAL""",12825705,"""02/10/2023""","""31/12/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",20,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9211,"""CENTRO DE GESTION INDUSTRIAL""",12561879,"""18/07/2022""","""17/07/2024""","""226245""",1,"""GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO""","""TECNOLOGO""","""PRESENCIAL""",24,0,202402
73,"""REGIONAL TOLIMA""",9226,"""CENTRO DE INDUSTRIA Y CONSTRUCCION""",12909877,"""15/02/2024""","""19/02/2024""","""33110210""",1,"""MANEJO DE RESIDUOS GENERADOS DE LA ATENCION EN SALUD HUMANA""","""CURSO ESPECIAL""","""PRESENCIAL""",34,0,202402
73,"""REGIONAL TOLIMA""",9310,"""CENTRO DE COMERCIO Y SERVICIOS""",12694416,"""23/01/2023""","""16/06/2024""","""822202""",1,"""GESTION LOGISTICA""","""TECNOLOGO""","""PRESENCIAL""",33,0,202402
8,"""REGIONAL ATLANTICO""",9302,"""CENTRO DE COMERCIO Y SERVICIOS""",12694611,"""01/02/2023""","""13/12/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",38,0,202402
19,"""REGIONAL CAUCA""",9221,"""CENTRO DE TELEINFORMATICA Y PRODUCCION INDUSTRIAL""",12910369,"""12/02/2024""","""28/02/2024""","""13410564""",1,"""MANEJO INTERMEDIO DE LA HERRAMIENTA DE HOJAS DE CALCULO EXCEL""","""CURSO ESPECIAL""","""PRESENCIAL""",17,0,202402
5,"""REGIONAL ANTIOQUIA""",9549,"""COMPLEJO TECNOLOGICO, TURISTICO Y AGROINDUSTRIAL DEL OCCIDENTE ANTIOQUEÑO""",12908798,"""08/02/2024""","""06/03/2024""","""11220133""",2,"""AUDITORIA INTERNA DE CALIDAD - NTC ISO 9001""","""CURSO ESPECIAL""","""VIRTUAL""",80,1,202402
15,"""REGIONAL BOYACA""",9111,"""CENTRO MINERO""",12706841,"""21/02/2023""","""13/12/2024""","""837101""",1,"""MECANICA DE MAQUINARIA INDUSTRIAL""","""TECNICO""","""PRESENCIAL""",28,0,202402
73,"""REGIONAL TOLIMA""",9123,"""CENTRO AGROPECUARIO LA GRANJA""",12694695,"""23/01/2023""","""30/11/2024""","""733193""",1,"""SISTEMAS AGROPECUARIOS ECOLOGICOS.""","""TECNICO""","""PRESENCIAL""",9,0,202402
23,"""REGIONAL CORDOBA""",9523,"""CENTRO DE COMERCIO, INDUSTRIA Y TURISMO DE CORDOBA""",12823751,"""02/10/2023""","""01/02/2025""","""839317""",1,"""MANTENIMIENTO Y ENSAMBLE DE EQUIPOS ELECTRONICOS.""","""TECNICO""","""PRESENCIAL""",31,1,202402
25,"""REGIONAL CUNDINAMARCA""",9510,"""CENTRO AGROECOLOGICO Y EMPRESARIAL""",12827671,"""02/10/2023""","""01/10/2025""","""112005""",101,"""GESTION DEL TALENTO HUMANO""","""TECNOLOGO""","""PRESENCIAL""",35,0,202402
76,"""REGIONAL VALLE""",9230,"""CENTRO NACIONAL DE ASISTENCIA TECNICA A LA INDUSTRIA - ASTIN""",12693905,"""28/12/2022""","""28/12/2024""","""821101""",1,"""FABRICACION DE MOLDES Y TROQUELES""","""TECNOLOGO""","""PRESENCIAL""",9,0,202402
47,"""REGIONAL MAGDALENA""",9118,"""CENTRO ACUICOLA Y AGROINDUSTRIAL DE GAIRA""",12556589,"""18/07/2022""","""17/07/2024""","""722142""",1,"""AGROBIOTECNOLOGIA""","""TECNOLOGO""","""PRESENCIAL""",28,0,202402
5,"""REGIONAL ANTIOQUIA""",9401,"""CENTRO DE SERVICIOS DE SALUD""",12556079,"""18/07/2022""","""17/10/2024""","""525214""",2,"""ACTIVIDAD FISICA""","""TECNOLOGO""","""PRESENCIAL""",20,0,202402
