CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO,tasa_desercion,duracion_dias,duracion_meses,mes_inicio,año_inicio,tiene_desercion
85,REGIONAL CASANARE,9519,CENTRO AGROINDUSTRIAL Y FORTALECIMIENTO EMPRESARIAL DE CASANARE,12774407,2023-07-10,2024-10-09,223108,1,ELABORACION DE ENSAYOS DE SUELOS Y CONCRETOS,TECNICO,PRESENCIAL,15,1,202402,0.06666666666666667,457,15,7,2023,TRUE
8,REGIONAL ATLANTICO,9302,CENTRO DE COMERCIO Y SERVICIOS,12908958,2024-02-02,2024-04-05,11110098,1,EXCEL INTERMEDIO,CURSO ESPECIAL,PRESENCIAL,31,0,202402,0,63,2.1,2,2024,FALSE
20,REGIONAL CESAR,9521,CENTRO DE OPERACION Y MANTENIMIENTO MINERO,12502660,2022-04-18,2024-04-17,223201,100,MANTENIMIENTO ELECTROMECANICO INDUSTRIAL,TECNOLOGO,PRESENCIAL,28,0,202402,0,730,24,4,2022,FALSE
68,REGIONAL SANTANDER,9540,CENTRO INDUSTRIAL Y DEL DESARROLLO TECNOLOGICO,12716503,2023-03-28,2024-11-30,633100,1,OPERACION TURISTICA LOCAL,TECNICO,PRESENCIAL,24,5,202402,0.20833333333333334,613,20.2,3,2023,TRUE
52,REGIONAL NARIÑO,9536,CENTRO INTERNACIONAL DE PRODUCCION LIMPIA - LOPE,2301207,2024-02-05,2024-02-12,1413104203,1,HERRAMIENTAS BASICAS PARA LA INVESTIGACION FORMATIVA E IDEACION DE PROYECTOS,EVENTO,PRESENCIAL,50,11,202402,0.22,7,0.2,2,2024,TRUE
5,REGIONAL ANTIOQUIA,9301,CENTRO DE COMERCIO,12615178,2022-10-06,2024-01-05,133500,1,NOMINA Y PRESTACIONES SOCIALES .,TECNICO,PRESENCIAL,19,0,202402,0,456,15,10,2022,FALSE
8,REGIONAL ATLANTICO,9103,CENTRO PARA EL DESARROLLO AGROECOLOGICO Y AGROINDUSTRIAL,12695210,2023-02-01,2024-11-30,632202,1,IMPULSO MULTICANAL DE PRODUCTOS ALIMENTICIOS,TECNICO,PRESENCIAL,25,0,202402,0,668,22,2,2023,FALSE
11,REGIONAL DISTRITO CAPITAL,9303,"CENTRO DE GESTION DE MERCADOS, LOGISTICA Y TECNOLOGIAS DE LA INFORMACION",12827053,2023-10-02,2025-12-31,228183,2,GESTION DE REDES DE DATOS,TECNOLOGO,PRESENCIAL,16,0,202402,0,821,27,10,2023,FALSE
66,REGIONAL RISARALDA,9308,CENTRO DE COMERCIO Y SERVICIOS,12874312,2024-01-22,2025-04-21,637804,1,COSMETOLOGIA Y ESTETICA INTEGRAL..,TECNICO,PRESENCIAL,29,1,202402,0.034482758620689655,455,15,1,2024,TRUE
8,REGIONAL ATLANTICO,9302,CENTRO DE COMERCIO Y SERVICIOS,12904898,2024-02-05,2025-05-01,636401,1,"ATENCION EN INCENDIOS, RESCATES Y OTRAS EMERGENCIAS..",TECNICO,PRESENCIAL,34,0,202402,0,451,14.8,2,2024,FALSE
